score,frame_count
0,23
0,135
0,45
1,44
0,20
0,51
0,221
0,105
1,38
0,53
1,74
1,81
0,79
0,58
0,30
1,46
0,27
0,18
0,57
0,117
0,38
0,102
1,220
0,31
0,102
0,30
1,57
1,194
0,34
0,214
1,85
2,71
0,83
0,143
1,14
1,230
0,131
0,74
0,118
1,22
1,92
0,36
0,51
1,32
1,395
2,473
0,66
1,42
0,147
1,124
1,84
0,401
1,35
0,132
0,71
0,27
1,143
1,89
0,17
1,37
0,22
0,21
1,65
3,209
1,238
1,83
2,232
1,244
2,256
1,142
0,21
1,77
1,52
1,39
0,401
2,49
0,119
0,401
4,256
1,85
2,27
1,501
6,300
7,533
1,73
1,119
2,71
5,901
8,703
26,1745
8,402
25,1194
10,435
9,376
18,666
2,120
23,676
2,45
3,88
13,376
7,109
14,500
16,398
13,415
6,211
13,320
3,64
15,671
14,496
13,451
18,607
19,542
22,718
18,657
1,33
19,626
3,105
11,261
5,148
7,174
23,713
21,579
5,145
7,110
3,74
8,149
4,113
16,481
2,20
8,199
16,276
19,391
24,479
22,441
6,83
13,227
28,614
28,590
30,706
5,104
18,334
24,507
24,550
38,776
25,555
24,569
11,142
27,480
22,490
23,496
3,33
